FID,OBJECTID,community,area_numbe,HS_Grad,BD,Unemployed,Diabetes_r,Lung_Cance,Childhood1,Childhood_,Obesity,Firearm_re,Inequ_inco,Inactivity,EBLL,Shape_Leng,Shape_Le_1,Shape_Area,Shape__Are,Shape__Len,Year_count
1,1,DOUGLAS,35,0.864000000000000,0.405000000000000,0.155000000000000,119.099999999999000,74.500000000000000,0.000000000000000,482.199999999999000,0.334000000000000,9.100000000000000,56.200000000000000,0.285000000000000,0.004000000000000,9453.413121710000000,0,4270688.521220000000000,7702955.500000000000000,12654.510080990100000,5755
2,2,OAKLAND,36,0.851000000000000,0.282000000000000,0.215000000000000,88.700000000000000,54.500000000000000,0.300000000000000,435.399999999999000,0.420000000000000,12.600000000000000,55.600000000000000,0.329000000000000,0.000000000000000,5961.255998550000000,0,1570141.241420000000000,2833845.503906250000000,7950.553509473110000,1108
3,3,FULLER PARK,37,0.753000000000000,0.115000000000000,0.311000000000000,111.700000000000000,89.599999999999900,2.500000000000000,489.899999999999000,0.433000000000000,22.600000000000000,47.100000000000000,0.380000000000000,0.028000000000000,7720.413854749990000,0,1848913.626369990000000,3333417.003906250000000,10369.290720559900000,1276
4,4,GRAND BOULEVARD,38,0.840000000000000,0.271000000000000,0.215000000000000,82.599999999999900,63.799999999999900,1.000000000000000,590.399999999999000,0.408000000000000,25.800000000000000,57.799999999999900,0.321000000000000,0.009000000000000,8591.095147500000000,0,4501641.174230000000000,8121220.996093750000000,11536.463722957600000,7301
5,5,KENWOOD,39,0.913000000000000,0.541000000000000,0.149000000000000,45.500000000000000,49.100000000000000,0.400000000000000,397.899999999999000,0.330000000000000,17.399999999999900,63.399999999999900,0.247000000000000,0.000000000000000,7106.744384499990000,0,2698752.519350000000000,4866413.503906250000000,9452.733508994260000,2280
6,6,LINCOLN SQUARE,4,0.897000000000000,0.583000000000000,0.072000000000000,55.399999999999900,43.100000000000000,0.400000000000000,273.300000000000000,0.233000000000000,6.100000000000000,65.099999999999900,0.188000000000000,0.009000000000000,11159.067719900000000,0,6623966.103540000000000,12002564.496093800000000,14997.593066559200000,3055
7,7,WASHINGTON PARK,40,0.807000000000000,0.169000000000000,0.318000000000000,88.200000000000000,79.799999999999900,0.400000000000000,502.399999999999000,0.443000000000000,39.500000000000000,48.500000000000000,0.368000000000000,0.006000000000000,8584.538177500000000,0,3933639.231099990000000,7089907.000000000000000,11511.352046896500000,4361
8,8,HYDE PARK,41,0.967000000000000,0.730000000000000,0.079000000000000,34.000000000000000,34.899999999999900,0.000000000000000,369.000000000000000,0.239000000000000,5.000000000000000,64.900000000000000,0.181000000000000,0.002000000000000,9063.259332240000000,0,4187160.273550000000000,7554185.496093750000000,12091.657047928700000,2796
9,9,WOODLAWN,42,0.832000000000000,0.233000000000000,0.228000000000000,82.099999999999900,69.799999999999900,1.600000000000000,444.300000000000000,0.404000000000000,25.000000000000000,52.799999999999900,0.329000000000000,0.020000000000000,14300.800003199900000,0,5367025.069099990000000,9654918.003906250000000,19114.950527194300000,6539
10,10,ROGERS PARK,1,0.842000000000000,0.419000000000000,0.098000000000000,77.099999999999900,36.700000000000000,0.500000000000000,364.699999999999000,0.298000000000000,5.200000000000000,60.299999999999900,0.247000000000000,0.008000000000000,10375.306019199900000,0,4758656.228020000000000,8637204.988281250000000,13811.377135427200000,6410
